174	96
189	87
185	110
195	104
149	61
189	104
147	92
154	111
174	90
169	103
195	81
159	80
192	101
155	51
191	79
153	107
157	110
140	129
144	145
172	139
157	110
153	149
169	97
185	139
172	67
151	64
190	95
187	62
163	159
179	152
153	121
178	52
195	65
160	131
157	153
189	132
197	114
144	80
171	152
185	81
175	120
149	108
157	56
161	118
182	126
185	76
188	122
181	111
161	72
140	152
168	135
176	54
163	110
172	105
196	116
187	89
172	92
178	127
164	70
143	88
191	54
141	143
193	54
190	83
175	135
179	158
172	96
168	59
164	82
194	136
153	51
178	117
141	80
180	75
185	100
197	154
165	104
168	90
176	122
181	51
164	75
166	140
190	105
186	118
168	123
198	50
175	141
145	117
159	104
185	140
178	154
183	96
194	111
177	61
197	119
170	156
142	69
160	139
195	69
190	50
